               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,                   0,            0.010987,                   0,           0.0010068,            0.029832,          0.00051179,          0.00010755,             0.11508,            0.026268,            0.040794,             0.00069,             0.00069,             0.09379
                   1,                   0,           0.0033677,                   0,           0.0014775,             0.08458,          0.00083171,          0.00018756,             0.11612,            0.025664,            0.040186,           0.0013897,           0.0013897,             0.08749
                   2,                   0,           0.0017391,                   0,           0.0017083,            0.020176,          0.00088685,          0.00022983,             0.11703,            0.026046,            0.040074,           0.0020884,           0.0020884,            0.081188
                   3,                   0,           0.0010636,                   0,           0.0020233,           0.0053419,           0.0010287,          0.00023996,              0.1172,            0.026966,            0.040071,            0.002785,            0.002785,            0.074885
                   4,                   0,          0.00071578,                   0,           0.0021402,          0.00085281,           0.0010744,          0.00018784,             0.11725,            0.027869,            0.040061,            0.003479,            0.003479,            0.068579
                   5,                   0,          0.00051452,                   0,                   0,                   0,                   0,                   0,             0.11692,            0.028991,            0.040072,           0.0041694,           0.0041694,            0.062269
                   6,                   0,          0.00037629,                   0,                   0,                   0,                   0,                   0,             0.11659,            0.030101,            0.040082,           0.0048554,           0.0048554,            0.055955
                   7,                   0,          0.00028392,                   0,                   0,                   0,                   0,                   0,             0.11647,            0.031028,            0.040124,           0.0055361,           0.0055361,            0.049636
                   8,                   0,          0.00021931,                   0,                   0,                   0,                   0,                   0,             0.11633,            0.031912,            0.040115,            0.006211,            0.006211,            0.043311
                   9,                   0,          0.00017245,                   0,                   0,                   0,                   0,                   0,              0.1162,            0.032766,            0.040103,            0.006879,            0.006879,            0.036979
                  10,                   0,          0.00013748,                   0,                   0,                   0,                   0,                   0,             0.11616,            0.033533,            0.040064,           0.0075394,           0.0075394,            0.030639
                  11,                   0,          0.00011072,                   0,                   0,                   0,                   0,                   0,             0.11594,            0.034404,            0.040053,           0.0081916,           0.0081916,            0.024292
                  12,                   0,          8.9851e-05,                   0,                   0,                   0,                   0,                   0,             0.11585,            0.035147,            0.040014,           0.0088347,           0.0088347,            0.017935
                  13,                   0,          7.3423e-05,                   0,                   0,                   0,                   0,                   0,             0.11546,            0.036041,            0.039987,           0.0094679,           0.0094679,            0.011568
                  14,                   0,           6.146e-05,                   0,                   0,                   0,                   0,                   0,             0.11509,            0.036902,             0.03997,           0.0096193,           0.0096193,           0.0096193
                  15,                   0,          5.1314e-05,                   0,                   0,                   0,                   0,                   0,              0.1148,            0.037771,            0.039979,           0.0096193,           0.0096193,           0.0096193
                  16,                   0,          4.3494e-05,                   0,                   0,                   0,                   0,                   0,             0.11477,            0.038302,            0.039915,            0.009564,            0.009564,            0.009564
                  17,                   0,          3.7753e-05,                   0,                   0,                   0,                   0,                   0,             0.11472,            0.038796,            0.039878,           0.0095052,           0.0095052,           0.0095052
